#fields:Hanzi	Pinyin	English	Notes	Tags
五经	Wǔ Jīng	the Five Classics — the canonical texts of Confucian education	五 wǔ (five) + 经 jīng (classic; canonical text; warp thread of a fabric). The five texts that defined literate education from the Han dynasty through the abolition of the imperial examination system in 1905: 诗经 (Classic of Poetry), 书经 (Classic of Documents), 易经 (Classic of Changes), 礼记 (Record of Rit…	poetry literature classical history culture cosmology philosophy language confucianism dynasty ancient politics ritual classics bronze-age
五色	wǔsè	the five colors — green-blue, red, yellow, white, black	五 wǔ (five) + 色 sè (color, appearance). The five phase-colors: 青 qīng (green-blue, Wood), 红 hóng (red, Fire), 黄 huáng (yellow, Earth), 白 bái (white, Metal), 黑 hēi (black, Water). These are cosmological categories before they are aesthetic ones.	wuxing five-phases cosmology philosophy tcm nature yin-yang history ancient
五四	Wǔ-Sì	May Fourth (Movement) — context for 她's birth		grammar modern social language
五四运动	wǔsì yùndòng	May Fourth Movement	May Fourth Movement: the intellectual and cultural movement sparked by student protests on May 4, 1919, against the terms of the Treaty of Versailles. It catalyzed demands for science and democracy, rejection of Confucian tradition, and the development of a new vernacular literature.	literature history culture writing classical 1911 republic sun-yatsen
五味	wǔwèi	the five flavors — sour, bitter, sweet, pungent, salty	五 wǔ (five) + 味 wèi (flavor, taste). Sour 酸 suān (Wood/Liver), bitter 苦 kǔ (Fire/Heart), sweet 甘 gān (Earth/Spleen), pungent/spicy 辛 xīn (Metal/Lung), salty 咸 xián (Water/Kidney). Each flavor enters and supports its corresponding organ system in moderate amounts; in excess, it taxes it.	cosmology philosophy language food culture geography history wuxing five-phases tcm nature yin-yang ancient
五星红旗	wǔ xīng hóngqí	the Five-Starred Red Flag (flag of the PRC)	五 wǔ + 星 xīng (star) + 红旗 hóngqí (red flag). The national flag of the People's Republic of China: one large star surrounded by four smaller ones on a red field.	cosmology philosophy language
五行	wǔxíng	the five phases; the five agents	五 wǔ + 行 xíng (to move; phase; agent). Wood, Fire, Earth, Metal, Water, understood as five phases of cyclical change rather than fixed substances. The generating cycle (相生) runs Wood feeds Fire, Fire makes Earth (ash), Earth bears Metal, Metal carries Water, Water nourishes Wood.	nature cosmology religion gods wuxing culture history philosophy language color symbolism daily divination classics daoism immortality science calendar astronomy vocabulary five-phases tcm yin-yang ancient directions colloquial things geomancy space binary
五脏	wǔzàng	the five yin organ systems — heart, liver, spleen, lung, kidney	五 wǔ (five) + 脏 zàng (solid, yin, storing organ). In TCM, 五脏 refers to five functional systems, not five anatomical organs in the Western sense. Heart (心 xīn) , Fire; Liver (肝 gān) , Wood; Spleen (脾 pí) , Earth; Lung (肺 fèi) , Metal; Kidney (肾 shèn) , Water.	wuxing five-phases cosmology philosophy tcm nature yin-yang history ancient
午	wǔ	noon		nature food characters
武昌起义	Wǔchāng Qǐyì	Wuchang Uprising (Oct 10, 1911)		1911 republic sun-yatsen
武打	wǔdǎ	Stage combat	Stage combat: the acrobatic fighting sequences of martial opera. Also used colloquially for action-movie fight choreography.	martial-arts wuxia honor characters opera theatre performance
武功	wǔgōng	martial skill: fighting prowess	武 wǔ (martial; military) + 功 gōng (skill). Skill in the martial arts, the trained fighting ability central to wuxia fiction and film. 武功高强 = of formidable martial skill. 一身武功 = a whole body of fighting skill. The word also has a classical sense of military accomplishment, the deeds that win wars.	mastery ability evaluation characters martial-arts wuxia honor time
武警	wǔjǐng	armed police		martial-arts wuxia honor characters
武力	wǔlì	armed force; military force	武 wǔ (martial) + 力 lì (force, power). Force exercised through arms, the option of compulsion by military means as opposed to negotiation: 使用武力 "to use force," 武力解决 "to resolve by force." A neutral, often institutional word for the state's capacity to wage war.	martial-arts wuxia honor characters
武林	wǔlín	the martial forest; the community of martial artists	武 wǔ (martial) + 林 lín (forest). The metaphor is ecological: martial arts practitioners form a dense, interconnected ecosystem , as complex and competitive as a forest, with dominant trees, understory growth, and constant struggle for light and resources.	wuxia culture society
武器	wǔqì	weapon; arms	武 wǔ (martial) + 器 qì (implement, tool). The weapon itself, from a single blade to a nation's arsenal: 核武器 "nuclear weapons," 武器装备 "weaponry and equipment." Figuratively, any decisive instrument: 知识是有力的武器 "knowledge is a powerful weapon."	martial-arts wuxia honor characters
武松	wǔ sōng	Wu Song — the tiger-slayer	One of the most famous heroes, celebrated for killing a man-eating tiger on Jingyang Ridge with his bare hands, drunk. Upright and ferocious, he later avenges his murdered brother and is driven by repeated injustice into outlawry.	literature novels classics classical song rebellion
武侠	wǔxiá	martial-hero fiction; the chivalrous swordsman	武 wǔ (martial) + 侠 xiá (a chivalrous knight-errant). The genre of stories about wandering martial heroes bound by honour and loyalty: 武侠小说 "martial-arts fiction," 武侠片 "a martial-arts film." A vast and beloved tradition in Chinese popular culture, peopled by swordsmen who right wrongs outside the rea…	martial-arts wuxia honor characters culture society
武勇	wǔyǒng	brave in battle; martial valour	武 wǔ (martial) + 勇 yǒng (brave, courageous). Bravery of the martial kind, valour in combat: the courage of a warrior who is both skilled and fearless. A more literary word than the everyday 勇敢, weighting the bravery specifically toward fighting and the battlefield.	martial-arts wuxia honor characters
武装	wǔzhuāng	to arm; armed; armed forces	武 wǔ (martial) + 装 zhuāng (to equip, to fit out). As a verb, to arm or equip with weapons; as an adjective, armed; as a noun, an armed force: 武装部队 "armed forces," 武装冲突 "armed conflict." Also figurative: 用知识武装头脑 "to arm the mind with knowledge."	martial-arts wuxia honor characters
舞	wǔ	to dance		communication culture characters
舞台	wǔtái	stage		culture arts history
务农	wùnóng	to farm for a living		nature society daily-life characters
戊己庚辛	wù jǐ gēng xīn	Stems 5–8 (Earth &amp; Metal)		science calendar cosmology history divination
物化	wù huà	the transformation of things — all things are in constant change	物 wù (things; beings) + 化 huà (to transform, change). The final concept named in the butterfly dream passage: "Between Zhuang Zhou and the butterfly there must necessarily be a gap, and this is called the transformation of things 物化." All distinctions, including the distinction between self and othe…	zhuangzi freedom daoist
物价	wùjià	commodity prices, cost of living	物 (goods, things) + 价 (price). The general price level of everyday goods across a market or city. The word that shows up in talk of inflation and the cost of living.	society social daily-life characters things science nature
物理	wùlǐ	physics; the principles of matter	物 wù (thing; matter) + 理 lǐ (principle). Literally "the principles of things," the modern name for physics. A clear case of 理 meaning the lawful pattern running through the physical world.	principle philosophy meaning characters chemistry science technology vocabulary translation biology nature life mathematics geometry learning astronomy cosmology wuxing physics energy
物品	wùpǐn	article; goods; item	物 wù (thing) + 品 pǐn (article; kind). The formal word for goods or articles, the kind you see on a shipping label or in a store inventory: 贵重物品 "valuable items," 日用物品 "everyday articles."	things science nature characters directions colloquial
